,ID, PostTypeId , AcceptedAnswerId , CreationDate , Score , ViewCount ,AnswerCount , CommentCount , OwnerUserId , LastActivityDate , ParentId, LastEditorUserId , LastEditDate
,277,1,278,2016-04-25T16:02:18.213,8,41,1,0,125,2016-04-25T16:16:04.843,,125,2016-04-25T16:15:47.373
,293,1,,2016-04-26T01:11:08.890,7,27,0,0,107,2016-04-26T01:11:08.890,,,
,611,1,615,2016-05-23T09:14:06.730,8,150,1,0,74,2016-05-24T08:05:02.507,,301,2016-05-24T08:05:02.507
,729,1,,2016-06-05T10:34:43.700,5,27,0,4,107,2016-06-05T12:26:47.743,,107,2016-06-05T12:26:47.743
,277,1,278,2016-04-25T16:02:18.213,8,41,1,0,125,2016-04-25T16:16:04.843,,125,2016-04-25T16:15:47.373
,162,1,267,2016-04-21T08:53:39.513,5,81,1,1,74,2016-04-25T08:31:47.250,,,
,207,1,,2016-04-22T01:40:19.473,8,61,1,4,221,2016-04-22T08:18:31.073,,,
,269,1,270,2016-04-25T09:31:44.043,14,75,1,3,105,2016-05-01T22:00:14.683,,79,2016-05-01T22:00:14.683
,269,1,270,2016-04-25T09:31:44.043,14,75,1,3,105,2016-05-01T22:00:14.683,,79,2016-05-01T22:00:14.683
,367,1,,2016-05-01T11:57:48.353,4,28,1,0,105,2016-05-03T05:54:42.433,,115,2016-05-03T05:54:42.433
,713,1,,2016-06-03T11:15:03.083,6,151,3,7,832,2016-06-07T22:14:20.203,,832,2016-06-05T10:23:44.337
,223,1,229,2016-04-22T16:03:07.723,10,116,3,8,225,2016-04-23T09:22:02.327,,225,2016-04-22T18:26:48.113
,674,1,,2016-05-31T19:05:52.283,4,76,2,2,462,2016-06-01T10:36:08.907,,,
,259,1,,2016-04-24T13:14:14.350,9,84,1,0,141,2016-04-24T13:14:14.350,,,
,503,1,664,2016-05-14T17:10:04.840,12,179,3,4,31,2016-05-29T11:39:57.927,,31,2016-05-16T20:36:07.390
,550,1,632,2016-05-18T19:36:09.477,10,253,3,7,539,2016-06-06T14:25:23.673,,539,2016-05-26T11:32:15.303
,551,1,,2016-05-18T20:25:18.790,14,198,3,8,611,2016-05-21T11:54:12.057,,611,2016-05-21T11:00:42.077
,747,1,,2016-06-05T13:20:47.543,5,52,1,0,367,2016-06-06T20:12:52.227,,367,2016-06-06T12:40:46.630
,756,1,757,2016-06-06T18:06:52.023,7,451,1,5,1872,2016-06-07T16:16:51.950,,12,2016-06-07T16:16:51.950
,844,1,,2016-06-09T00:37:55.823,4,48,1,1,367,2016-06-11T12:39:03.040,,367,2016-06-11T12:39:03.040
,882,1,888,2016-06-10T18:31:42.370,2,34,1,1,1939,2016-06-11T03:47:58.637,,,
,36,1,66,2016-04-19T21:29:26.527,10,117,2,0,75,2016-05-19T12:45:04.523,,278,2016-05-18T20:46:16.860
,64,1,157,2016-04-19T23:03:46.837,6,124,1,8,103,2016-05-19T00:56:34.437,,278,2016-05-19T00:56:34.437
,151,1,,2016-04-20T23:08:30.637,16,223,4,0,141,2016-05-22T10:09:39.733,,,
,171,1,175,2016-04-21T13:34:50.207,6,87,2,0,152,2016-04-21T14:48:52.243,,,
,582,1,583,2016-05-20T01:26:23.093,7,256,1,0,64,2016-05-20T01:31:33.397,,,
,683,1,684,2016-06-01T23:40:22.113,35,5097,3,1,221,2016-06-04T10:14:43.257,,,
,899,1,900,2016-06-12T01:12:06.080,0,17,1,1,621,2016-06-12T02:07:10.080,,621,2016-06-12T01:31:05.633
,123,1,135,2016-04-20T16:55:03.693,8,48,1,0,55,2016-04-20T18:34:59.633,,,
,166,1,192,2016-04-21T12:48:53.067,3,24,1,1,128,2016-04-21T16:47:08.310,,,
,409,1,411,2016-05-07T05:21:11.640,5,77,2,4,254,2016-05-07T05:58:04.163,,,
,551,1,,2016-05-18T20:25:18.790,14,198,3,8,611,2016-05-21T11:54:12.057,,611,2016-05-21T11:00:42.077
,634,1,635,2016-05-25T15:37:33.963,19,861,1,2,702,2016-05-29T15:36:14.953,,87,2016-05-29T15:36:14.953
,10,1,35,2016-04-19T20:33:24.703,7,73,2,4,55,2016-04-21T07:05:56.643,,,
,39,1,,2016-04-19T21:33:18.533,8,73,1,0,74,2016-04-20T12:07:25.917,,,
,42,1,65,2016-04-19T21:34:59.757,15,126,2,0,55,2016-06-08T10:43:44.253,,,
,56,1,63,2016-04-19T22:10:22.890,14,139,2,0,81,2016-04-20T14:42:27.377,,115,2016-04-20T14:42:27.377
,89,1,118,2016-04-20T01:25:28.607,16,143,5,0,89,2016-04-26T04:05:02.687,,56,2016-04-22T00:25:43.793
,104,1,108,2016-04-20T07:50:00.810,13,127,1,1,74,2016-04-20T10:01:50.827,,,
,123,1,135,2016-04-20T16:55:03.693,8,48,1,0,55,2016-04-20T18:34:59.633,,,
,171,1,175,2016-04-21T13:34:50.207,6,87,2,0,152,2016-04-21T14:48:52.243,,,
,324,1,326,2016-04-27T17:15:37.890,8,76,1,2,81,2016-04-27T17:57:53.937,,,
,355,1,359,2016-04-29T23:33:17.897,8,88,1,0,81,2016-04-30T04:35:12.007,,,
,360,1,362,2016-04-30T14:39:50.003,6,75,2,0,2,2016-06-03T08:05:21.537,,276,2016-06-03T08:05:21.537
,427,1,428,2016-05-08T20:33:36.493,7,131,2,3,74,2016-05-09T19:14:09.287,,,
,433,1,434,2016-05-09T15:37:44.313,10,647,2,1,81,2016-05-11T04:11:57.450,,,
,474,1,485,2016-05-12T13:17:08.353,2,71,1,0,393,2016-05-12T19:24:41.757,,,
,609,1,612,2016-05-23T03:15:32.800,10,96,1,0,64,2016-05-24T06:43:37.927,,,
,634,1,635,2016-05-25T15:37:33.963,19,861,1,2,702,2016-05-29T15:36:14.953,,87,2016-05-29T15:36:14.953
,638,1,,2016-05-26T07:27:03.670,7,334,2,10,105,2016-06-08T15:45:08.943,,105,2016-06-01T18:03:45.360
,647,1,649,2016-05-26T22:06:02.137,4,100,1,1,539,2016-05-30T00:00:00.980,,,
,667,1,668,2016-05-30T00:26:42.610,7,201,1,0,64,2016-05-30T01:33:40.210,,,
,749,1,,2016-06-05T20:43:35.060,-4,51,0,4,413,2016-06-05T20:43:35.060,,,
,862,1,,2016-06-09T21:22:52.993,5,74,1,0,857,2016-06-10T05:47:40.100,,462,2016-06-10T01:37:37.010
,868,1,871,2016-06-09T22:47:29.380,4,57,1,2,1939,2016-06-10T00:44:33.493,,,
,882,1,888,2016-06-10T18:31:42.370,2,34,1,1,1939,2016-06-11T03:47:58.637,,,
,887,1,,2016-06-10T23:14:16.293,0,25,0,6,1977,2016-06-11T02:18:33.107,,12,2016-06-11T02:18:33.107
,64,1,157,2016-04-19T23:03:46.837,6,124,1,8,103,2016-05-19T00:56:34.437,,278,2016-05-19T00:56:34.437
,306,1,319,2016-04-26T17:43:52.203,12,154,1,1,81,2016-04-27T07:10:29.863,,,
,481,1,482,2016-05-12T16:41:57.447,12,883,4,10,448,2016-06-07T16:40:40.317,,448,2016-05-13T00:11:53.863
,775,1,776,2016-06-07T15:37:21.373,10,1615,3,7,1880,2016-06-10T16:33:21.433,,1880,2016-06-10T16:33:21.433
,791,1,,2016-06-07T23:25:40.107,33,5802,2,9,1893,2016-06-08T16:55:53.340,,,
,797,1,813,2016-06-08T02:31:47.000,5,1574,3,1,1880,2016-06-11T03:07:50.173,,1880,2016-06-08T02:51:04.063
,223,1,229,2016-04-22T16:03:07.723,10,116,3,8,225,2016-04-23T09:22:02.327,,225,2016-04-22T18:26:48.113
,251,1,255,2016-04-23T17:41:19.280,11,70,2,1,225,2016-04-26T19:14:23.800,,12,2016-04-23T22:27:14.410
,794,1,883,2016-06-07T23:58:39.270,4,38,1,0,105,2016-06-10T18:40:43.600,,105,2016-06-08T00:40:03.443
,171,1,175,2016-04-21T13:34:50.207,6,87,2,0,152,2016-04-21T14:48:52.243,,,
,329,1,331,2016-04-27T23:36:54.257,15,269,3,1,29,2016-06-11T02:55:56.477,,12,2016-06-11T02:55:56.477
,452,1,455,2016-05-10T16:17:57.047,8,277,3,2,379,2016-05-11T04:23:13.683,,4,2016-05-11T04:23:13.683
,476,1,478,2016-05-12T14:16:13.123,12,350,3,2,125,2016-06-08T20:09:09.870,,462,2016-05-14T21:17:56.627
,644,1,,2016-05-26T20:19:02.113,13,1393,3,4,462,2016-06-01T00:26:17.090,,,
,658,1,,2016-05-28T18:16:28.390,8,169,1,5,462,2016-05-30T04:49:32.770,,,
,687,1,,2016-06-02T08:06:14.497,27,5118,8,5,762,2016-06-06T23:01:59.243,,762,2016-06-02T08:17:55.507
,689,1,694,2016-06-02T08:58:36.690,1,80,3,8,762,2016-06-02T12:43:47.137,,621,2016-06-02T12:34:14.987
,223,1,229,2016-04-22T16:03:07.723,10,116,3,8,225,2016-04-23T09:22:02.327,,225,2016-04-22T18:26:48.113
,123,1,135,2016-04-20T16:55:03.693,8,48,1,0,55,2016-04-20T18:34:59.633,,,
,113,1,115,2016-04-20T10:54:14.743,15,96,1,0,69,2016-06-09T09:49:44.230,,276,2016-06-09T09:49:44.230
,306,1,319,2016-04-26T17:43:52.203,12,154,1,1,81,2016-04-27T07:10:29.863,,,
,1,1,,2016-04-19T20:11:37.597,11,105,1,2,24,2016-04-20T09:40:12.707,,24,2016-04-19T20:22:16.770
,54,1,,2016-04-19T22:06:00.410,9,88,3,0,55,2016-04-26T07:41:12.873,,55,2016-04-19T22:14:10.330
,56,1,63,2016-04-19T22:10:22.890,14,139,2,0,81,2016-04-20T14:42:27.377,,115,2016-04-20T14:42:27.377
,159,1,513,2016-04-21T08:25:15.243,10,142,2,14,74,2016-05-15T08:19:50.213,,56,2016-04-21T15:53:45.467
,161,1,608,2016-04-21T08:41:28.443,8,104,1,2,74,2016-05-23T08:44:37.253,,74,2016-05-13T11:19:53.453
,208,1,,2016-04-22T04:36:30.210,14,187,2,2,4,2016-05-07T08:50:17.410,,4,2016-05-07T08:50:17.410
,271,1,,2016-04-25T12:23:28.830,7,188,1,5,74,2016-05-10T12:03:29.697,,,
,302,1,,2016-04-26T10:03:53.437,8,60,2,4,74,2016-04-30T18:27:58.223,,,
,376,1,377,2016-05-02T20:31:30.920,5,97,5,7,74,2016-05-05T11:07:57.963,,,
,452,1,455,2016-05-10T16:17:57.047,8,277,3,2,379,2016-05-11T04:23:13.683,,4,2016-05-11T04:23:13.683
,481,1,482,2016-05-12T16:41:57.447,12,883,4,10,448,2016-06-07T16:40:40.317,,448,2016-05-13T00:11:53.863
,606,1,610,2016-05-22T03:10:41.200,10,240,1,0,621,2016-05-23T21:22:17.127,,,
,674,1,,2016-05-31T19:05:52.283,4,76,2,2,462,2016-06-01T10:36:08.907,,,
,722,1,723,2016-06-04T13:05:22.057,4,62,1,4,857,2016-06-07T16:14:18.167,,12,2016-06-07T16:14:18.167
,223,1,229,2016-04-22T16:03:07.723,10,116,3,8,225,2016-04-23T09:22:02.327,,225,2016-04-22T18:26:48.113
,441,1,,2016-05-09T21:43:40.633,5,213,4,6,341,2016-05-19T13:10:04.267,,12,2016-05-17T22:43:16.903
,8,1,,2016-04-19T20:29:03.827,6,151,3,3,37,2016-05-13T14:49:05.933,,278,2016-05-12T18:38:06.100
,10,1,35,2016-04-19T20:33:24.703,7,73,2,4,55,2016-04-21T07:05:56.643,,,
,42,1,65,2016-04-19T21:34:59.757,15,126,2,0,55,2016-06-08T10:43:44.253,,,
,54,1,,2016-04-19T22:06:00.410,9,88,3,0,55,2016-04-26T07:41:12.873,,55,2016-04-19T22:14:10.330
,212,1,217,2016-04-22T09:20:43.900,4,69,3,0,133,2016-06-07T08:28:23.480,,133,2016-04-22T10:56:44.363
,406,1,,2016-05-05T16:00:26.993,6,108,1,0,105,2016-05-16T07:48:31.930,,535,2016-05-16T07:48:31.930
,553,1,560,2016-05-19T00:21:33.357,15,235,3,0,64,2016-05-20T08:33:46.640,,64,2016-05-19T03:29:57.607
,562,1,,2016-05-19T15:15:36.447,7,84,4,2,439,2016-06-03T04:55:10.993,,,
,638,1,,2016-05-26T07:27:03.670,7,334,2,10,105,2016-06-08T15:45:08.943,,105,2016-06-01T18:03:45.360
,688,1,692,2016-06-02T08:49:35.093,6,52,1,2,517,2016-06-11T04:59:27.853,,462,2016-06-11T04:59:27.853
,722,1,723,2016-06-04T13:05:22.057,4,62,1,4,857,2016-06-07T16:14:18.167,,12,2016-06-07T16:14:18.167
,773,1,774,2016-06-07T14:53:34.353,12,336,2,2,439,2016-06-11T14:23:55.720,,439,2016-06-11T14:23:55.720
,852,1,857,2016-06-09T13:21:59.153,6,73,2,0,105,2016-06-09T19:49:34.200,,105,2016-06-09T13:53:20.997
